t2r60_human,oprk_human
t2r13_human,5ht2a_human
ta2r4_human,agtr1_human
t2r39_human,agtr1_human
gp143_human,aa2ar_human
t2r19_human,5ht2c_human
t2r45_human,5ht2c_human
t2r50_human,drd2_human
t2r41_human,drd2_human
ta2r8_human,drd2_human
t2r20_human,5ht2c_human
t2r31_human,agtr1_human
t2r42_human,hrh1_human
t2r43_human,drd2_human
t2r46_human,5ht2c_human
ta2r9_human,agtr1_human
ta2r3_human,cxcr4_human
ta2r7_human,drd2_human
t2r38_human,agtr1_human
t2r30_human,5ht2c_human
agre4_human,agrg3_human
agrg5_human,agrg3_human
agrl4_human,agrg3_human
agrg3_human,agrg3_human
agrg1_human,agrg3_human
agre1_human,sctr_human
agrf4_human,agrg3_human
agre2_human,agrg3_human
agre3_human,agrg3_human
agrf3_human,agrg3_human
agrd2_human,agrg3_human
agrd1_human,crfr1_human
agrf1_human,calcr_human
agrg7_human,agrg3_human
agrf5_human,crfr1_human
agrg4_human,agrg3_human
agrg6_human,agrg3_human
agrg2_human,agrg3_human
agrv1_human,agrg3_human
agra1_human,agrg3_human
agra2_human,crfr1_human
agra3_human,agrg3_human
celr1_human,pth1r_human
celr2_human,calrl_human
agrl3_human,agrg3_human
agrl2_human,agrg3_human
agrb3_human,crfr1_human
agrl1_human,agrg3_human
agrb2_human,crfr1_human
agrb1_human,crfr1_human
agrf2_human,calrl_human
g137a_human,fpr2_human
tpra1_human,pe2r4_human
agre5_human,agrg3_human
celr3_human,crfr2_human
gp157_human,5ht2c_human
t2r40_human,5ht2a_human
ta2r1_human,cxcr4_human
t2r16_human,pd2r2_human
t2r14_human,5ht2c_human
gp107_human,oxyr_human
t2r10_human,drd2_human
ta2r5_human,adrb1_melga
5ht1f_human,5ht1e_human
5ht5a_human,5ht1a_human
5ht1e_human,5ht1e_human
5ht1d_human,5ht1d_human
5ht1b_human,5ht1b_human
5ht1a_human,5ht1a_human
ada2a_human,ada2a_human
ada2c_human,ada2c_human
taar8_human,5ht1b_human
taar5_human,5ht1b_human
taar3_human,ada2a_human
taar6_human,5ht1b_human
gp148_human,5ht1d_human
taar2_human,ada2a_human
taar9_human,adrb2_human
gpr63_human,drd2_human
5ht7r_human,5ht1e_human
ada1a_human,5ht1a_human
gp161_human,5ht1b_human
gpr85_human,5ht2c_human
gp173_human,cxcr2_human
gpr27_human,ox1r_human
5ht2c_human,5ht2c_human
5ht2a_human,5ht2a_human
5ht2b_human,5ht2b_human
mc5r_human,mc4r_human
aa3r_human,aa1r_human
aa1r_human,aa1r_human
aa2br_human,aa2ar_human
pe2r1_human,ta2r_human
fshr_human,aa2ar_human
lshr_human,hrh1_human
tshr_human,aa2ar_human
lgr5_human,aa2ar_human
aa2ar_human,aa2ar_human
hrh3_human,hrh1_human
acm1_human,acm1_human
gpbar_human,gpbar_human
acm2_human,acm2_human
hrh4_human,acm3_rat
acm5_human,acm5_human
acm3_rat,acm3_rat
acm3_human,acm3_rat
acm4_human,acm4_human
gp162_human,npy1r_human
taar1_human,drd1_human
gpr45_human,drd2_human
gp101_human,ccr5_human
mtr1a_human,mtr1a_human
adrb3_human,adrb1_melga
rxfp2_human,aa1r_human
hrh2_human,drd1_human
5ht4r_human,drd1_human
adrb1_human,adrb1_melga
drd1_human,drd1_human
drd5_human,drd1_human
5ht6r_human,5ht2c_human
adrb1_melga,adrb1_melga
ada1d_human,ada2b_human
ada1b_human,ada2b_human
rxfp1_human,lt4r1_human
adrb2_human,adrb2_human
gpr33_human,fpr2_human
mrgrg_human,agtr1_human
bkrb1_human,agtr1_human
agtr2_human,agtr2_human
ackr3_human,cxcr2_human
c5ar1_human,c5ar1_human
mrgx2_human,c5ar1_human
gpr1_human,fpr2_human
gper1_human,cltr2_human
gpr25_human,agtr1_human
agtr1_human,agtr1_human
cml1_human,fpr2_human
gpr15_human,ccr6_human
bkrb2_human,agtr2_human
rl3r2_human,oprd_mouse
lt4r1_human,lt4r1_human
apj_human,apj_human
ogr1_human,ptafr_human
rl3r1_human,agtr1_human
gp182_human,apj_human
lgr4_human,agtr1_human
ackr1_human,cxcr2_human
ccrl2_human,ccr5_human
cxcr1_human,cxcr2_human
xcr1_human,cxcr2_human
cxcr2_human,cxcr2_human
ackr4_human,ccr9_human
ccr10_human,ccr7_human
ccr9_human,ccr9_human
ccr7_human,ccr7_human
cxcr6_human,ccr6_human
ccr1_human,ccr5_human
ccr3_human,ccr5_human
ccr5_human,ccr5_human
ccr8_human,ccr5_human
ccr4_human,ccr5_human
ccr6_human,ccr6_human
cx3c1_human,ccr2_human
ccr2_human,ccr2_human
ackr2_human,ccr5_human
crfr2_human,crfr2_human
crfr1_human,crfr1_human
calrl_human,calrl_human
calcr_human,calcr_human
c5ar2_human,c5ar1_human
fpr1_human,fpr2_human
fpr2_human,fpr2_human
cxcr4_human,cxcr4_human
cxcr5_human,ccr7_human
cxcr3_human,cxcr2_human
fpr3_human,fpr2_human
lt4r2_human,lt4r1_human
drd3_human,drd3_human
drd2_human,drd2_human
drd4_human,drd4_human
drd4_mouse,drd4_mouse
ada2b_human,ada2b_human
gpr88_human,ox1r_human
gpr62_human,cxcr2_human
pi2r_human,pe2r4_human
gpr61_human,5ht1e_human
gpr75_human,ccr6_human
ednrb_human,ednrb_human
ednra_human,ednrb_human
grpr_human,ednrb_human
gpr37_human,ednrb_human
g37l1_human,ednrb_human
nmbr_human,ednrb_human
ffar1_human,ffar1_human
ffar2_human,par2_human
ghrhr_human,ghrhr_human
sctr_human,sctr_human
glp1r_human,glp1r_human
vipr2_human,vipr1_human
pacr_human,pacr_human
vipr1_human,vipr1_human
gipr_human,glr_human
glr_human,glr_human
glp2r_human,glr_human
pth1r_human,pth1r_human
pth2r_human,pth1r_human
ts1r2_human,casr_human
ts1r1_human,grm1_human
ts1r3_human,casr_human
gpc5d_human,grm1_human
rai3_human,grm1_human
gpc6a_human,casr_human
gabr1_human,gabr1_human
gpc5b_human,grm1_human
gpc5c_human,grm1_human
grm1_human,grm1_human
gp156_human,gabr2_human
gp158_human,grm1_human
gp179_human,gabr2_human
grm6_human,grm5_human
grm3_human,grm5_human
grm2_human,grm1_human
grm8_human,grm5_human
grm4_human,grm5_human
grm7_human,grm5_human
gabr2_human,gabr2_human
casr_human,casr_human
grm5_human,grm5_human
hrh1_human,hrh1_human
gp146_human,ccr6_human
gp160_human,p2y12_human
gpr22_human,5ht2c_human
gpr3_human,mc4r_human
lpar1_human,lpar1_human
lpar2_human,lpar1_human
lpar3_human,lpar1_human
cnr2_human,cnr2_human
cnr1_human,cnr1_human
pe2r2_human,pe2r4_human
ghsr_human,ghsr_human
ntr2_human,ntr1_rat
ntr1_human,ntr1_human
ntr1_rat,ntr1_rat
mtlr_human,ghsr_human
gp139_human,5ht2a_human
nmur1_human,ghsr_human
nmur2_human,ghsr_human
